trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,1,-130.15458834807976,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",20,0,-70.48150174060619,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",25,0,-63.06888615849894,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",30,0,-190.7055841794172,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999998}",20,0,-107.8112387434472,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639998}",20,0,-64.32409018572298,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467198}",20,0,-121.90902475366454,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8507630225817854}",25,10,-136.6704847266531,"{0: 8, 1: 1, 2: 2, 3: 2, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.8337477621301497}",20,0,-87.341814112183,"{0: 8, 1: 6, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",20,0,-126.11387281197915,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8007313507497957}",30,0,-123.47318472331938,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,0,-48.42126533514656,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7690223892601038}",30,0,-268.8308376873936,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",25,0,-93.76425153892082,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7385691026454037}",20,0,-69.17569026928739,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",20,0,-63.84798588678024,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",20,0,-40.23370738343325,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570327}",35,0,-157.7658738024148,"{0: 23, 1: 5, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",20,0,-128.66889714393707,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",25,0,-123.56273591535755,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",20,0,-16.852461289025136,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",20,0,-78.17360223287416,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.6283472821521205}",20,2,-38.64527180968253,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.6157803365090782}",20,0,-23.062670010683984,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.6034647297788965}",20,0,-9.7440966257724,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.5913954351833186}",20,0,-117.04745901045123,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",30,0,-66.70098446825574,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
