trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.96}",20,0,-97.1626229998048,"{0: 10, 1: 4, 2: 3, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9216}",30,0,-126.20982844451945,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.884736}",25,0,-182.24057288591177,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.84934656}",25,0,-96.77272183749078,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8153726976}",25,0,-64.44121131497693,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.782757789696}",25,0,-121.7913468284412,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.7514474781081599}",20,0,-95.311934482767,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.7213895789838335}",20,0,-5.6540667013452595,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6925339958244802}",25,0,-111.46066939108292,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.6648326359915009}",25,0,-142.1875710457024,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.6382393305518408}",20,0,-39.525254657855896,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.6127097573297672}",20,0,-51.79331148445771,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5882013670365764}",25,0,-114.49840703030895,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.5646733123551133}",20,0,-51.41362760721093,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.5420863798609088}",35,1,-173.75930917284856,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 4}",1
16,False,"{'a': 0.5, 'e': 0.5204029246664724}",20,0,-48.66582478127869,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.4995868076798135}",20,10,-17.2456983066567,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.47960333537262095}",20,6,-65.67093430277859,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.4604192019577161}",20,0,-90.37516836951966,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.4420024338794074}",20,0,-44.04367784235765,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.42432233652423107}",20,11,-51.18333709840219,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.4073494430632618}",20,13,-11.72188003197878,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.3910554653407313}",30,0,-123.66976801175679,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.3754132467271021}",25,0,-40.49677264904558,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.360396716858018}",25,0,-104.1482467624873,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.3459808481836973}",25,0,-3.9076617677581122,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.33214161425634936}",25,0,-25.255404629354388,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.3188559496860954}",25,5,1.9768133739814457,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.3061017116986515}",20,10,2.355735730685627,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.29385764323070546}",20,0,-2.0847780323133573,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.2821033375014772}",20,0,-45.90390144456298,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.2708192040014181}",20,9,-78.77394631821807,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.2599864358413614}",30,0,-41.95606636767399,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.2495869784077069}",30,1,-118.5097457653729,"{0: 21, 1: 4, 2: 1, 3: 0, 4: 3}",1
35,False,"{'a': 0.5, 'e': 0.23960349927139862}",20,0,-12.426134055157721,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.23001935930054268}",25,0,-75.753765804677,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.22081858492852097}",25,13,20.914601403535624,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.21198584153138011}",20,12,14.215353709152986,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.2035064078701249}",30,1,-92.4088418036487,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 2}",1
