trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.96}",20,0,-65.9521983309772,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9216}",25,0,-93.68699129444849,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.884736}",20,0,-77.0600432947435,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.84934656}",20,0,-70.75359996391241,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.8153726976}",20,0,-155.66683716076264,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.782757789696}",35,0,-126.0141659672906,"{0: 24, 1: 5, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.7514474781081599}",25,0,-168.45968468046226,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.7213895789838335}",20,0,-169.94969536625453,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.6925339958244802}",20,4,-137.6598061796989,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.6648326359915009}",30,0,-62.50136327819244,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.6382393305518408}",25,0,-104.70319216213763,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.6127097573297672}",25,0,-77.36013938683767,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.5882013670365764}",20,0,-107.81952422408673,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.5646733123551133}",25,0,-55.81591272159783,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.5420863798609088}",20,0,-81.87031627839329,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.5204029246664724}",25,0,-175.15650233823806,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.4995868076798135}",20,0,-81.00218060701565,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.47960333537262095}",35,18,-41.82201962024172,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.4604192019577161}",25,0,-86.10029753261153,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.4420024338794074}",20,0,-19.392933131967197,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.42432233652423107}",20,9,-45.502567992283,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.4073494430632618}",20,0,-113.63395707480016,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.3910554653407313}",25,19,-30.49628520007154,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.3754132467271021}",20,0,-127.71376785204272,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.360396716858018}",25,15,-47.59043821399094,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.3459808481836973}",20,8,-25.296190807777265,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.33214161425634936}",20,0,-2.6123631465103063,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.3188559496860954}",35,0,-90.7328868701773,"{0: 26, 1: 3, 2: 3, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.3061017116986515}",30,0,-73.69026996978612,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.29385764323070546}",25,0,-57.27560814154948,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.2821033375014772}",20,0,-2.4253404538807173,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.2708192040014181}",25,0,-4.0872049940880695,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.2599864358413614}",20,0,-47.533040535652304,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
