trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.7, 'e': 0.5309055429551132}",20,0,-100.57324911721801,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
64,False,"{'a': 0.7, 'e': 0.525596487525562}",25,15,5.51544105217242,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.5203405226503064}",25,0,-128.04055242887802,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
66,False,"{'a': 0.7, 'e': 0.5151371174238033}",20,0,-5.632401327152337,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.5099857462495653}",20,13,-0.3553655788164398,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.5048858887870696}",20,14,8.948958492320518,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.4998370298991989}",25,15,-22.267153815164257,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.49483865960020695}",25,0,11.260652822158294,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.7, 'e': 0.4898902730042049}",20,2,7.26821966804881,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.48499137027416284}",25,18,1.3795046261640396,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.4801414565714212}",25,0,-41.095014316868316,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
74,False,"{'a': 0.7, 'e': 0.475340042005707}",30,9,-23.30163362174338,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.7, 'e': 0.47058664158564995}",30,18,-34.12222721270137,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
