trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.96}",20,0,-95.54006368971743,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.9216}",20,0,-176.8906663609763,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.8, 'e': 0.884736}",20,0,-68.17632176401216,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.84934656}",25,0,-182.8483840635989,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.8153726976}",20,12,-60.182350221942,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
6,False,"{'a': 0.8, 'e': 0.782757789696}",30,0,-168.79024862552882,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.7514474781081599}",20,11,1.1652710351467197,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.7213895789838335}",30,0,-115.35802085009712,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.6925339958244802}",35,0,-203.04222581851366,"{0: 21, 1: 2, 2: 8, 3: 1, 4: 3}",0
10,False,"{'a': 0.8, 'e': 0.6648326359915009}",20,0,-163.4166049514509,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.8, 'e': 0.6382393305518408}",20,0,-111.48105749025753,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.6127097573297672}",25,0,-100.0447895560728,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.5882013670365764}",20,0,-182.14158200962643,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
14,False,"{'a': 0.8, 'e': 0.5646733123551133}",35,0,-156.04288609654196,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.5420863798609088}",30,16,-33.38837846981671,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.5204029246664724}",20,2,-41.71358076334941,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.8, 'e': 0.4995868076798135}",20,11,-37.05302870644988,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.8, 'e': 0.47960333537262095}",25,7,-32.022810586847235,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.4604192019577161}",25,0,-84.93319051320937,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.4420024338794074}",20,0,-30.995338400508732,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.8, 'e': 0.42432233652423107}",25,16,-7.400256871513208,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.8, 'e': 0.4073494430632618}",20,1,4.134641670266792,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.3910554653407313}",20,15,-13.963754399178299,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.3754132467271021}",20,0,-104.16241938065592,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.8, 'e': 0.360396716858018}",20,11,4.4671935697054375,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.3459808481836973}",30,0,-119.77071077950274,"{0: 22, 1: 3, 2: 1, 3: 2, 4: 2}",0
27,False,"{'a': 0.8, 'e': 0.33214161425634936}",30,0,-59.862260995817294,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.8, 'e': 0.3188559496860954}",25,0,-135.9892802911009,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
29,False,"{'a': 0.8, 'e': 0.3061017116986515}",25,0,-73.33573373130551,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
30,False,"{'a': 0.8, 'e': 0.29385764323070546}",20,11,10.947119826892484,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.8, 'e': 0.2821033375014772}",20,5,11.769999488924764,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.8, 'e': 0.2708192040014181}",30,16,-8.441528360075308,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.2599864358413614}",20,0,-25.175594287866545,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.8, 'e': 0.2495869784077069}",25,9,-29.11016907211019,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
35,False,"{'a': 0.8, 'e': 0.23960349927139862}",20,0,-25.935557247423635,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
36,False,"{'a': 0.8, 'e': 0.23001935930054268}",20,14,-8.714139097068331,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.8, 'e': 0.22081858492852097}",20,0,-15.406555078011284,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
