trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.7, 'e': 0.2653662497477053}",20,7,-31.826429973413152,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.7, 'e': 0.2627125872502282}",25,0,-21.27858701288683,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
134,False,"{'a': 0.7, 'e': 0.2600854613777259}",20,7,-3.361833324268158,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.2574846067639487}",25,8,-36.65749868994618,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.2549097606963092}",20,14,11.823476783840215,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.2523606630893461}",25,4,34.7670943595641,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 0.24983705645845267}",25,0,-16.843618536745446,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 0.7, 'e': 0.24733868589386815}",20,0,-30.50102159679625,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
140,False,"{'a': 0.7, 'e': 0.24486529903492946}",20,0,-77.33013220551803,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
141,False,"{'a': 0.7, 'e': 0.24241664604458016}",30,19,4.239957763458689,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.23999247958413436}",20,13,13.57072103924477,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.23759255478829303}",30,15,7.703781682627062,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.2352166292404101}",20,12,-37.84815544465596,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.7, 'e': 0.232864462948006}",35,16,-5.98774719373156,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.23053581831852593}",20,11,-4.393990464878826,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 0.22823046013534068}",25,0,-21.617745358066664,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
